First_member,Second_member,Third_member
1,2,99
3,99,99
4,15,99
5,99,99
6,39,99
7,99,99
8,99,99
9,30,99
10,36,99
11,28,17
12,34,99
13,99,99
14,99,99
16,26,99
18,99,99
19,99,99
20,99,99
21,23,99
22,99,99
24,27,99
25,99,99
29,99,99
31,99,99
32,40,99
33,99,99
35,38,99
37,99,99
