First_member,Second_member
1,21
2,23
3,99
4,5
6,99
7,25
8,10
9,35
11,22
12,32
13,99
14,99
15,99
16,31
17,99
18,39
19,29
20,99
24,99
26,99
27,99
28,99
30,99
33,99
34,99
36,99
37,99
38,99
39,99
40,99
