First_member,Second_member,Third_member,Fourth_member
1,43,99,99
2,20,23,29
3,99,99,99
4,99,11,99
5,99,99,99
6,39,99,99
7,99,99,99
8,10,99,99
9,26,44,99
12,99,15,99
13,45,99,99
14,99,99,19
16,24,31,99
17,47,22,99
18,99,99,99
21,99,35,25
27,46,32,40
28,41,99,99
30,36,37,99
33,99,99,99
34,99,99,99
38,99,99,99
42,99,99,99
